term,POS,sentiment
disenchanted,adj,-2
disenchantment,n,-2
disenfranchise,v,-2
disengage,v,0
disengagement,n,0
disentangle,v,0
disentanglement,n,0
disfavor,n,-2
disfigure,v,-1
disfigurement,n,-2
disfranchise,v,-2
disgorge,v,0
disgrace,v,-2
disgraceful,adj,-2
disgracefully,adv,-2
disgruntle,v,-2
disgruntled,adj,-1
disguise,v,0
disgust,v,-2
disgusted,adj,-2
disgusting,adj,-2
disgustingly,adv,-2
dish,v,0
disharmony,n,-2
dishcloth,n,0
dishearten,v,-1
disheveled,adj,-1
dishonest,adj,-2
dishonestly,adv,-2
dishonesty,n,-2
dishonor,v,-2
dishonorable,adj,-2
dishonorably,adv,-2
dishpan,n,0
dishrag,n,0
dishtowel,n,0
dishwasher,n,0
dishwater,n,0
disillusion,v,-1
disillusioned,adj,-1
disillusionment,n,-2
disinclined,adj,-1
disinfect,v,0
disinfectant,adj,0
disinformation,n,-2
disingenuous,adj,-1
disinherit,v,-1
disintegrate,v,-1
disintegration,n,0
disinter,v,0
disinterest,n,-1
disinterested,adj,-1
disjointed,adj,-2
disk,v,0
diskette,n,0
dislike,v,-1
dislocate,v,-1
dislocation,n,-1
dislodge,v,0
disloyal,adj,-2
disloyalty,n,-2
dismal,adj,-3
dismally,adv,-2
dismantle,v,0
dismay,v,-1
dismember,v,-1
dismemberment,n,-2
dismiss,v,-1
dismissal,n,-2
dismount,v,0
disobedience,n,-2
disobedient,adj,-2
disobey,v,-2
disorder,v,-1
disorderliness,n,-1
disorderly,adj,-2
disorganization,n,-1
disorganize,v,-1
disorganized,adj,-1
disorient,v,-1
disorientation,n,-1
disown,v,-2
disparage,v,-2
disparagement,n,-2
disparaging,adj,-2
disparate,adj,0
disparity,n,0
dispassionate,adj,-1
dispassionately,adv,0
dispatch,v,0
dispatcher,n,0
dispel,v,0
dispensable,adj,-2
dispensary,n,0
dispensation,n,0
dispense,v,0
dispenser,n,0
dispersal,n,0
disperse,v,0
dispersion,n,0
dispirit,v,-2
dispirited,adj,-1
displace,v,-1
displacement,n,0
display,v,0
displease,v,-1
displeasure,n,-2
disport,n,0
disposable,adj,-1
disposal,n,0
dispose,v,0
disposition,n,0
dispossess,v,-1
dispossession,n,-2
disproportion,n,-1
disproportionate,adj,-1
disproportionately,adv,-1
disprove,v,-2
disputable,adj,-1
disputant,n,0
disputation,n,0
disputatious,adj,-1
dispute,v,-1
disqualification,n,-2
disqualify,v,-2
disquiet,n,-2
disquisition,n,0
disregard,v,-1
disrepair,n,-2
disreputable,adj,-2
disreputably,adv,-2
disrepute,n,-2
disrespect,n,-2
disrespectful,adj,-2
disrespectfully,adv,-2
disrobe,v,0
disrupt,v,-1
disruption,n,-1
disruptive,adj,-2
dissatisfaction,n,-2
dissatisfied,adj,-2
dissatisfy,v,-1
dissect,v,0
dissection,n,0
dissemble,v,-1
disseminate,v,0
dissemination,n,0
dissension,n,-2
dissent,v,-1
dissenter,n,-2
dissertation,n,0
disservice,n,-2
dissidence,n,-2
dissident,adj,-1
dissimilar,adj,0
dissimilarity,n,0
dissimulate,v,-1
dissimulation,n,-1
dissipate,v,0
dissipated,adj,-2
dissipation,n,0
dissociate,v,0
dissociation,n,0
dissolute,adj,-2
dissolutely,adv,-2
dissolution,n,-1
dissolve,v,0
dissonance,n,-1
dissonant,adj,-1
dissuade,v,-1
dissuasion,n,0
distaff,adj,0
distance,v,-1
distant,adj,0
distantly,adv,0
distaste,n,-2
distasteful,adj,-2
distastefully,adv,-2
distemper,v,0
distend,v,0
distention,n,0
distill,v,0
distillation,n,0
distiller,n,0
distillery,n,0
distinct,adj,1
distinction,n,1
distinctive,adj,1
distinctively,adv,0
distinctiveness,n,0
distinctly,adv,0
distinguish,v,0
distinguishable,adj,1
distinguished,adj,2
distort,v,-1
distortion,n,-1
distract,v,-1
distracted,adj,-1
distraction,n,-1
distraught,adj,-2
distress,v,-1
distressful,adj,-2
distribute,v,0
distribution,n,0
distributive,adj,0
distributor,n,0
district,v,0
distrust,v,-2
distrustful,adj,-2
distrustfully,adv,-2
disturb,v,-1
disturbance,n,-2
disturbed,adj,-1
disturbing,adj,-2
disunite,v,-1
disunity,n,-2
disuse,n,0
ditch,v,-1
dither,v,-1
ditto,v,0
ditty,n,0
diuretic,n,0
diurnal,adj,0
div.,n,0
diva,n,0
divan,n,0
dive,v,0
diver,n,0
diverge,v,0
divergence,n,0
divergent,adj,-1
divers,adj,0
diverse,adj,0
diversely,adv,0
diversification,n,0
diversify,v,0
diversion,n,0
diversionary,adj,0
diversity,n,0
divert,v,0
divest,v,0
divide,v,0
dividend,n,0
divider,n,0
divination,n,0
divine,adj,3
divine,v,2
divinely,adv,3
diviner,n,0
divinity,n,0
divisibility,n,0
divisible,adj,0
division,n,0
divisive,adj,-2
divisively,adv,-1
divisiveness,n,-2
divisor,n,0
divorce,v,-2
divorced,adj,-1
divorcee,n,0
divot,n,0
divulge,v,0
divvy,n,0
dizzily,adv,-1
dizziness,n,-1
dizzy,adj,-1
dizzy,v,-1
dj,v,0
do,v,0
doable,adj,1
doc,n,0
docile,adj,0
docility,n,0
dock,v,0
docket,v,0
dockyard,n,0
doctor,v,-1
doctoral,adj,0
doctorate,n,0
doctrinaire,adj,-1
doctrinal,adj,0
doctrine,n,0
docudrama,n,0
document,v,0
documentary,adj,0
documentation,n,0
dodder,v,0
doddering,adj,-1
dodge,v,-1
dodger,n,-2
dodo,n,0
doe,n,0
doer,n,0
does,v,0
doff,v,0
dog,v,-1
dog-eared,adj,-1
dogfight,v,-1
dogfish,n,0
dogged,adj,1
doggedly,adv,1
doggedness,n,1
doggerel,n,-1
doggie,n,0
doggone,v,-2
doggy,n,0
doghouse,n,0
dogie,n,0
dogma,n,0
dogmatic,adj,-1
dogmatically,adv,-2
dogmatism,n,0
dogmatist,n,0
dogtrot,n,0
dogwood,n,0
doily,n,0
doing,n,0
doings,n,0
do-it-yourself,adj,0
doldrums,n,-1
dole,n,-1
doleful,adj,-1
dolefully,adv,-1
doll,n,0
dollar,n,0
dollhouse,n,0
dollop,n,0
dolly,n,0
dolmen,n,0
dolorous,adj,-1
dolphin,n,0
dolt,n,-2
doltish,adj,-1
domain,n,0
dome,n,0
domed,adj,0
domestic,adj,0
domestically,adv,0
domesticate,v,0
domestication,n,0
domesticity,n,0
domicile,v,0
dominance,n,0
dominant,adj,1
dominantly,adv,0
dominate,v,0
domination,n,0
domineer,v,-1
domineering,adj,-2
dominican,adj,0
dominion,n,0
domino,n,0
don,v,0
donate,v,2
donation,n,0
done,adj,1
donkey,n,0
donor,n,0
donut,n,0
doodad,n,0
doodle,v,0
doodler,n,0
doom,v,-2
doomsday,n,-2
door,n,0
doorbell,n,0
doorknob,n,0
doorman,n,0
doormat,n,0
doorstep,n,0
doorway,n,0
dope,v,-1
dopey,adj,-1
dopy,adj,-1
dork,n,-1
dorky,adj,-1
dorm,n,0
dormancy,n,0
dormant,adj,0
dormer,n,0
dormice,n,0
dormitory,n,0
dormouse,n,0
dorsal,adj,0
dory,n,0
dosage,n,0
dose,v,0
dossier,n,0
dot,v,0
dotage,n,0
dote,v,1
double,adj,0
double,adv,0
double,v,0
double-barreled,adj,0
double-breasted,adj,0
double-check,v,0
double-date,v,0
double-dealing,adj,-2
double-jointed,adj,0
double-park,v,0
doublet,n,0
doubloon,n,0
doubly,adv,0
doubt,v,-1
doubter,n,-1
doubtful,adj,-1
doubtfully,adv,-2
doubtless,adv,1
doubtlessly,adv,1
douche,v,0
dough,n,0
doughnut,n,0
doughty,n,2
doughy,adj,0
dour,adj,-1
dourly,adv,-1
douse,v,0
dove,n,1
dovetail,v,0
dowager,n,0
dowdiness,n,-1
dowdy,adj,-1
dowel,n,0
down,adj,-1
down,adv,-1
down,v,-1
downbeat,adj,-1
downcast,adj,-1
downer,n,-2
downfall,n,-2
downgrade,v,-1
downhearted,adj,-1
downhill,adj,-1
downhill,adv,-1
download,v,0
downplay,v,0
downpour,n,0
downright,adj,0
downright,adv,-2
downsize,v,0
downstage,adj,0
downstage,adv,0
downstairs,adj,0
downstairs,adv,0
downstate,adj,0
downstream,adj,0
downstream,adv,0
downswing,n,0
down-to-earth,adj,1
downtown,adj,0
downtown,adv,0
downtrodden,adj,-2
downturn,n,-1
downward,adj,-1
downward,adv,-1
downwards,adv,-1
downwind,adj,0
downwind,adv,0
downy,adj,0
dowry,n,0
dowse,v,0
doxology,n,0
doz.,n,0
doze,v,0
dozen,adj,0
drab,adj,-1
drably,adv,-1
drabness,n,-1
draft,v,0
draftee,n,0
draftiness,n,-1
draftsman,n,0
draftsmanship,n,0
drafty,adj,0
drag,v,0
dragnet,n,0
dragon,n,0
dragonfly,n,0
dragoon,v,-1
drain,v,-1
drainage,n,0
drainer,n,0
drainpipe,n,0
drake,n,0
dram,n,0
drama,n,0
dramatic,adj,0
dramatically,adv,0
dramatics,n,-1
dramatist,n,0
dramatization,n,0
dramatize,v,0
drank,v,0
drape,v,0
drapery,n,0
drastic,adj,-1
drastically,adv,-1
draught,n,0
draw,v,0
drawback,n,-1
drawbridge,n,0
drawer,n,0
drawers,n,0
drawing,n,0
drawl,v,0
drawn,adj,-1
drawstring,n,0
dray,n,0
dread,adj,-2
dread,v,-2
dreadful,adj,-2
dreadfully,adv,-2
dreadlocks,n,0
dream,v,0
dreamer,n,0
dreamily,adv,0
dreamland,n,0
dreamless,adj,0
dreamlike,adj,0
dreamt,v,0
dreamy,adj,0
drearily,adv,-2
dreariness,n,-2
dreary,adj,-2
dredge,v,0
dredger,n,0
dregs,n,-1
drench,v,-1
dress,adj,0
dress,v,0
dressage,n,0
dresser,n,0
dressing,n,0
dressmaker,n,0
dressmaking,n,0
dressy,adj,0
drew,v,0
dribble,v,0
dribbler,n,0
dried,adj,0
drier,adj,0
drift,v,0
drifter,n,-1
driftwood,n,0
drill,v,0
drily,adv,-1
drink,v,0
drinkable,adj,1
drinker,n,0
drip,v,0
drip-dry,adj,0
drip-dry,v,0
drippings,n,0
drive,v,0
drivel,v,-1
driven,adj,1
driver,n,0
driveway,n,0
drizzle,v,0
drizzly,adj,0
droll,adj,1
drollness,n,0
drolly,adv,0
dromedary,n,0
drone,v,-1
drool,v,0
droop,v,-1
droopy,adj,0
drop,v,0
droplet,n,0
dropout,n,-2
dropper,n,0
droppings,n,0
dross,n,-1
drought,n,-2
drove,v,0
drover,n,0
drown,v,-1
drowse,v,0
drowsily,adv,-1
drowsiness,n,-1
drowsy,adj,-1
drub,v,-1
drudge,v,-1
drudgery,n,-2
drug,v,0
druggist,n,0
drugstore,n,0
druid,n,0
drum,v,0
drummer,n,0
drumstick,n,0
drunk,adj,-1
drunkard,n,-2
drunken,adj,-1
drunkenly,adv,-1
drunkenness,n,-2
dry,adj,0
dry,v,0
dryad,n,0
dryer,n,0
dryly,adv,-1
dryness,n,0
drywall,n,0
dual,adj,0
duality,n,0
dub,v,0
dubious,adj,-2
dubiously,adv,-2
ducal,adj,0
ducat,n,0
duchess,n,0
duchy,n,0
duck,v,0
duckling,n,0
duct,n,0
ductile,adj,0
dud,adj,-2
dude,n,0
dudgeon,n,-2
duds,n,0
due,adj,0
due,adv,0
duel,v,0
duelist,n,0
dues,n,0
duet,n,0
duffer,n,-1
dug,v,0
dugout,n,0
duh,n,-1
duke,n,0
dukedom,n,0
dulcet,adj,1
dulcimer,n,0
dull,v,-1
dull,adj,-2
dullard,n,-2
dullness,n,-1
dully,adv,-2
duly,adv,0
dumb,adj,-2
dumbbell,n,0
dumbfound,v,-1
dumbly,adv,-2
dumbness,n,-1
dumbwaiter,n,0
dumdum,n,-1
dumfound,v,-1
dummy,adj,-1
dummy,v,0
dump,v,-1
dumpling,n,0
dumps,n,-2
dumpy,adj,-1
dun,adj,0
dun,v,0
dunce,n,-2
dune,n,0
dung,v,0
dungaree,n,0
dungarees,n,0
dungeon,n,-1
dunk,v,0
duo,n,0
duodenal,adj,0
duodenum,n,0
dupe,v,-1
duplex,adj,0
duplex,v,0
duplicate,adj,0
duplicate,v,0
duplication,n,0
duplicator,n,0
duplicity,n,-2
durability,n,0
durable,adj,2
durably,adv,2
duration,n,0
duress,n,-2
during,prep,0
dusk,v,0
dusky,adj,0
dust,v,0
duster,n,0
dustpan,n,0
dusty,adj,-1
dutch,adj,0
dutiful,adj,2
dutifully,adv,2
duty,n,0
dwarf,v,0
dwarves,n,0
dweeb,n,-1
dwell,v,0
dweller,n,0
dwelling,n,0
dwelt,n,0
dwindle,v,0
dye,v,0
dyer,n,0
dyestuff,n,0
dying,adj,-2
dyke,v,0
dynamic,adj,1
dynamically,adv,1
dynamics,n,0
dynamism,n,2
dynamite,v,0
dynamo,n,1
dynastic,adj,0
dynasty,n,0
dysentery,n,-2
dysfunction,n,-2
dysfunctional,adj,-2
dyslexia,n,-1
dyslexic,adj,-1
dyspepsia,n,-2
dyspeptic,adj,-1
dz.,n,0
e,unknown,0
e.g.,adv,0
ea.,n,0
each,adj,0
each,adv,0
eager,adj,2
eagerly,adv,1
eagerness,n,2
eagle,v,0
eagle-eyed,adj,1
eaglet,n,0
ear,n,0
earache,n,-2
eardrum,n,0
earl,n,0
earlobe,n,0
early,adj,1
early,adv,1
earmark,v,0
earmuff,n,0
earmuffs,n,0
earn,v,0
earnest,adj,2
earnestly,adv,2
earnestness,n,1
earnings,n,0
earphone,n,0
earplug,n,0
earring,n,0
earshot,n,0
earsplitting,adj,-2
earth,v,0
earthen,adj,0
earthenware,n,0
earthiness,n,0
earthling,n,0
earthly,adj,0
earthquake,n,-2
earthshaking,adj,0
earthwork,n,0
earthworm,n,0
earthy,adj,0
ease,n,2
easel,n,0
easily,adv,2
easiness,n,1
east,adj,0
east,adv,0
easterly,adj,0
easterly,adv,0
eastern,adj,0
easterner,n,0
eastward,adj,0
eastward,adv,0
eastwards,adv,0
easy,adj,1
easygoing,adj,2
eat,v,0
eatable,adj,1
eaten,v,0
eater,n,0
eatery,n,0
eaves,n,0
eavesdrop,v,-1
eavesdropper,n,-1
ebb,v,0
ebony,adj,0
ebullience,n,2
ebullient,adj,2
eccentric,adj,0
eccentrically,adv,0
eccentricity,n,-1
ecclesiastic,adj,0
ecclesiastical,adj,0
echelon,n,0
echo,v,0
eclair,n,0
eclectic,adj,1
eclecticism,n,1
eclipse,v,0
ecological,adj,0
ecologically,adv,0
ecologist,n,0
ecology,n,0
economic,adj,0
economical,adj,2
economically,adv,1
economics,n,0
economist,n,0
economize,v,0
economy,n,0
ecosystem,n,0
ecstasy,n,2
ecstatic,adj,2
ecstatically,adv,2
ecumenical,adj,0
ecumenically,adv,0
eczema,n,-1
ed.,n,0
eddy,v,0
edema,n,-1
edge,v,0
edgeways,adv,0
edgewise,adv,0
edginess,n,0
edging,n,0
edgy,adj,1
edible,adj,0
edict,n,0
edification,n,2
edifice,n,0
edify,v,1
edit,v,0
edition,n,0
editor,n,0
editorial,adj,0
editorialize,v,0
editorially,adv,0
educable,adj,1
educate,v,0
educated,adj,2
education,n,0
educational,adj,1
educationally,adv,1
educator,n,0
eel,n,0
e'er,adv,0
eerie,adj,-1
eerily,adv,-2
eeriness,n,-1
eery,adj,-1
efface,v,0
effect,v,0
effective,adj,2
effectively,adv,2
effectiveness,n,2
effects,n,0
effectual,adj,1
effectually,adv,1
effeminacy,n,-1
effeminate,adj,-1
effervesce,v,0
effervescence,n,0
effervescent,adj,1
effete,adj,-1
efficacious,adj,2
efficacy,n,0
efficiency,n,2
efficient,adj,2
efficiently,adv,2
effigy,n,0
effluent,adj,0
effort,n,0
effortless,adj,1
effortlessly,adv,2
effrontery,n,-2
effusion,n,0
effusive,adj,1
effusively,adv,1
effusiveness,n,0
egalitarian,adj,2
egalitarianism,n,0
egg,v,0
eggbeater,n,0
egghead,n,0
eggnog,n,0
eggplant,n,0
eggshell,n,0
ego,n,0
egocentric,adj,-2
egoism,n,-1
egoist,n,-1
egoistic,adj,-2
egotism,n,-2
egotist,n,-2
egotistic,adj,-2
egotistical,adj,-2
egregious,adj,-3
egregiously,adv,-2
egress,v,0
egret,n,0
egyptian,adj,0
eh,excl,0
eider,n,0
eiderdown,n,0
eight,adj,0
eighteen,adj,0
eighteenth,adj,0
eighth,adj,0
eightieth,adj,0
eighty,adj,0
either,adv,0
ejaculate,v,0
ejaculation,n,0
eject,v,-1
ejection,n,0
eke,n,0
elaborate,adj,0
elaborate,v,0
elaborately,adv,1
elaborateness,n,0
elaboration,n,0
elan,n,2
elapse,v,0
elastic,adj,0
elasticity,n,0
elate,v,2
elated,adj,2
elation,n,3
elbow,v,0
elbowroom,n,0
elder,adj,0
elderberry,n,0
elderly,adj,0
eldest,adj,0
elect,adj,1
elect,v,0
election,n,0
electioneer,v,0
elective,adj,0
elector,n,0
electoral,adj,0
electorate,n,0
electric,adj,0
electrical,adj,0
electrically,adv,0
electrician,n,0
electricity,n,0
electrification,n,0
electrify,v,2
electrifying,adj,1
electrocardiogram,n,0
electrocardiograph,n,0
electrocute,v,0
electrocution,n,-2
electrode,n,0
electrolysis,n,0
electrolyte,n,0
electrolytic,adj,0
electromagnet,n,0
electromagnetic,adj,0
electromagnetism,n,0
electron,n,0
electronic,adj,0
electronically,adv,0
electronics,n,0
electroplate,v,0
elegance,n,2
elegant,adj,2
elegantly,adv,2
elegy,n,0
element,n,0
elemental,adj,0
elementary,adj,0
elephant,n,0
elephantine,adj,-1
elevate,v,2
elevation,n,0
elevator,n,0
eleven,adj,0
eleventh,adj,0
elf,n,0
elfin,adj,2
elfish,adj,1
elicit,v,0
eligibility,n,0
eligible,adj,2
eliminate,v,-1
elimination,n,-1
elite,adj,2
elitism,n,-1
elitist,adj,-1
elixir,n,2
elizabethan,adj,0
elk,n,0
ell,n,0
ellipse,n,0
ellipses,n,0
ellipsis,n,0
elliptic,adj,0
elliptical,adj,0
elm,n,0
elocution,n,0
elocutionist,n,0
elongate,adj,0
elongate,v,0
elongation,n,0
elope,v,0
elopement,n,0
eloquence,n,2
eloquent,adj,2
eloquently,adv,2
else,conj,0
elsewhere,adv,0
elucidate,v,0
elucidation,n,0
elude,v,-1
elusive,adj,0
elusively,adv,-1
elusiveness,n,-1
elves,n,0
em,n,0
emaciate,v,0
emaciated,adj,-2
emaciation,n,-1
e-mail,v,0
emanate,v,0
emanation,n,0
emancipate,v,1
emancipation,n,2
emancipator,n,1
emasculate,adj,-2
emasculate,v,-2
emasculation,n,-2
embalm,v,0
embalmer,n,0
embankment,n,0
embargo,v,0
embark,v,0
embarkation,n,0
embarrass,v,-1
embarrassing,adj,-2
embarrassingly,adv,-2
embarrassment,n,-1
embassy,n,0
embattled,adj,-1
embed,v,0
embellish,v,0
embellishment,n,0
ember,n,0
embezzle,v,-2
embezzlement,n,-2
embezzler,n,-2
embitter,v,-2
emblazon,v,0
emblem,n,0
emblematic,adj,0
embodiment,n,0
embody,v,0
embolden,v,0
embolism,n,0
emboss,v,0
embrace,v,1
embroider,v,0
embroidery,n,0
embroil,v,-2
embryo,n,0
embryologist,n,0
embryology,n,0
embryonic,adj,0
emcee,v,0
emend,v,0
emendation,n,0
emerald,adj,0
emerge,v,0
emergence,n,0
emergency,n,-2
emergent,adj,0
emeritus,adj,0
emery,n,0
emetic,adj,-1
emigrant,n,0
emigrate,v,0
emigration,n,0
emigre,n,0
eminence,n,1
eminent,adj,2
eminently,adv,2
emir,n,0
emirate,n,0
emissary,n,0
emission,n,0
emit,v,0
emollient,adj,0
emote,v,0
emotion,n,0
emotional,adj,0
emotionally,adv,0
empathize,v,1
empathy,n,2
emperor,n,0
emphases,n,0
emphasis,n,0
emphasize,v,0
emphatic,adj,1
emphatically,adv,0
emphysema,n,-2
empire,n,0
empirical,adj,0
empirically,adv,0
empiricism,n,0
employ,v,0
employable,adj,1
employee,n,0
employer,n,0
employment,n,0
emporia,n,0
emporium,n,0
empower,v,1
empress,n,0
emptily,adv,0
emptiness,n,-1
empty,adj,0
empty,v,0
empty-handed,adj,-1
empty-headed,adj,-2
emu,n,0
emulate,v,0
emulation,n,0
emulsify,v,0
emulsion,n,0
enable,v,0
enact,v,0
enactment,n,0
enamel,v,0
enamor,v,2
encamp,v,0
encampment,n,0
encapsulate,v,0
encapsulation,n,0
encase,v,0
encephalitis,n,-2
enchant,v,2
enchanter,n,0
enchanting,adj,2
enchantingly,adv,2
enchantment,n,2
enchantress,n,0
enchilada,n,0
encircle,v,0
encirclement,n,0
enclave,n,0
enclose,v,0
enclosure,n,0
encode,v,0
encompass,v,0
encore,v,0
encounter,v,0
encourage,v,1
encouragement,n,2
encouraging,adj,2
encouragingly,adv,2
encroach,v,-1
encroachment,n,-1
encrust,v,0
encrustation,n,0
encumber,v,-1
encumbrance,n,-1
encyclical,adj,0
encyclopaedia,n,0
encyclopedia,n,0
encyclopedic,adj,0
end,v,0
endanger,v,-2
endear,v,1
endearing,adj,2
endearingly,adv,2
endearment,n,2
endeavor,v,0
endemic,adj,-2
ending,n,0
endive,n,0
endless,adj,0
endlessly,adv,0
endocrine,adj,0
endorse,v,2
endorsement,n,0
endow,v,0
endowment,n,0
endurable,adj,1
endurance,n,2
endure,v,0
enduring,adj,2
endways,adv,0
endwise,adv,0
enema,n,0
enemy,n,-2
energetic,adj,1
energetically,adv,1
energize,v,1
energy,n,1
enervate,v,-1
enfeeble,v,-1
enfold,v,0
enforce,v,0
enforceable,adj,0
enforcement,n,0
enforcer,n,-1
enfranchise,v,0
enfranchisement,n,0
engage,v,0
engaged,adj,0
engagement,n,0
engaging,adj,2
engagingly,adv,2
engender,v,0
engine,n,0
engineer,v,0
engineering,n,0
english,adj,0
engorge,v,0
engrave,v,0
engraver,n,0
engraving,n,0
engross,v,0
engrossing,adj,2
engulf,v,-1
enhance,v,1
enhancement,n,2
enigma,n,0
enigmatic,adj,0
enigmatically,adv,0
enjoin,v,0
enjoy,v,1
enjoyable,adj,2
enjoyment,n,2
enlarge,v,0
enlargement,n,0
enlighten,v,1
enlightened,adj,2
enlightenment,n,2
enlist,v,0
enlistee,n,0
enlistment,n,0
enliven,v,1
enmesh,v,0
enmity,n,-2
ennoble,v,1
ennui,n,-1
enormity,n,0
enormous,adj,0
enormously,adv,0
enough,adj,0
enough,adv,0
enquire,v,0
enquiry,n,0
enrage,v,-2
enrapture,v,2
enrich,v,1
enrichment,n,1
enrol,v,0
enroll,v,0
enrollment,n,0
ensconce,v,0
ensemble,n,0
enshrine,v,1
enshroud,v,0
ensign,n,0
enslave,v,-2
enslavement,n,-2
ensnare,v,-2
ensue,v,0
ensure,v,0
entail,v,0
entangle,v,-1
entanglement,n,-1
entente,n,0
enter,v,0
enterprise,n,0
enterprising,adj,2
entertain,v,1
entertainer,n,0
entertaining,adj,2
entertainingly,adv,2
entertainment,n,0
enthral,v,2
enthrall,v,2
enthralling,adj,2
enthrone,v,0
enthuse,v,2
enthusiasm,n,2
enthusiast,n,1
enthusiastic,adj,2
enthusiastically,adv,2
entice,v,0
enticement,n,0
entire,adj,0
entirely,adv,0
entirety,n,0
entitle,v,0
entitlement,n,0
entity,n,0
entomb,v,0
entombment,n,0
entomological,adj,0
entomologist,n,0
entomology,n,0
entourage,n,0
entrails,n,0
entrance,v,0
entrant,n,0
entrap,v,-1
entrapment,n,-2
entreat,v,0
entreaty,n,0
entree,n,0
entrench,v,0
entrenchment,n,0
entrepreneur,n,0
entrepreneurial,adj,2
entrust,v,2
entry,n,0
entwine,v,0
enumerate,v,0
enumeration,n,0
enunciate,v,0
enunciation,n,0
envelop,v,0
envelope,n,0
envelopment,n,0
enviable,adj,1
enviably,adv,2
envious,adj,-2
enviously,adv,-1
environment,n,0
environmental,adj,0
environmentalist,n,0
environmentally,adv,0
environs,n,0
envisage,v,0
envision,v,0
envoy,n,0
envy,v,-1
enzyme,n,0
eon,n,0
epaulet,n,0
epaulette,n,0
ephemeral,adj,-1
epic,adj,1
epicenter,n,0
epicure,n,0
epicurean,adj,0
epidemic,adj,-1
epidermal,adj,0
epidermis,n,0
epiglottis,n,0
epigram,n,0
epigrammatic,adj,0
epilepsy,n,-2
epileptic,adj,-1
epilog,n,0
epilogue,n,0
episcopalian,adj,0
episode,n,0
episodic,adj,0
epistle,n,0
epitaph,n,0
epithet,n,0
epitome,n,0
epitomize,v,0
epoch,n,0
epochal,adj,1
epoxy,v,0
equability,n,0
equable,adj,1
equably,adv,2
equal,adj,0
equal,v,0
equality,n,1
equalization,n,0
equalize,v,0
equalizer,n,0
equally,adv,0
equanimity,n,2
equate,v,0
equation,n,0
equator,n,0
equatorial,adj,0
equestrian,adj,0
equidistant,adj,0
equilateral,adj,0
equilibrium,n,0
equine,adj,0
equinoctial,adj,0
equinox,n,0
equip,v,0
equipment,n,0
equitable,adj,1
equitably,adv,2
equity,n,2
equivalence,n,0
equivalent,adj,0
equivocal,adj,-1
equivocally,adv,-1
equivocate,v,0
equivocation,n,-1
era,n,0
eradicate,v,-1
eradication,n,-1
erase,v,-1
eraser,n,0
erasure,n,-1
ere,n,0
erect,adj,0
erect,v,0
erection,n,0
erectly,adv,0
erectness,n,0
ergonomics,n,0
ermine,n,0
erode,v,-1
erogenous,adj,0
erosion,n,-1
erosive,adj,-1
erotic,adj,0
erotica,n,0
erotically,adv,0
eroticism,n,0
err,v,-2
errand,n,0
errant,adj,-2
errata,n,0
erratic,adj,-1
erratically,adv,-2
erroneous,adj,-2
erroneously,adv,-2
error,n,-1
ersatz,adj,0
erstwhile,adj,0
erstwhile,adv,0
erudite,adj,2
eruditely,adv,2
erudition,n,0
erupt,v,-1
eruption,n,-1
escalate,v,-1
escalation,n,-1
escalator,n,0
escapade,n,0
escape,v,0
escapee,n,0
escapism,n,0
escapist,adj,0
escarole,n,0
escarpment,n,0
eschew,v,0
escort,v,0
escrow,n,0
escutcheon,n,0
esophagi,n,0
esophagus,n,0
esoteric,adj,0
esoterically,adv,0
esp.,n,0
especial,adj,1
especially,adv,0
espionage,n,-1
espousal,n,0
espouse,v,0
espresso,n,0
espy,v,0
esquire,n,0
essay,v,0
essayist,n,0
essence,n,0
essential,adj,1
essentially,adv,1
est.,n,0
establish,v,0
establishment,n,0
estate,n,0
esteem,v,1
esthete,n,0
esthetic,adj,1
esthetics,n,0
estimable,adj,0
estimate,v,0
estimation,n,0
estimator,n,0
estonian,adj,0
estrange,v,-1
estranged,adj,-1
estrangement,n,-2
estrogen,n,0
estuary,n,0
etc.,adv,0
etch,v,0
etcher,n,0
etching,n,0
eternal,adj,1
eternally,adv,1
eternity,n,0
ether,n,0
ethereal,adj,1
ethereally,adv,0
ethic,n,0
ethical,adj,2
ethically,adv,2
ethics,n,0
ethiopian,adj,0
ethnic,adj,0
ethnically,adv,0
ethnicity,n,0
ethnological,adj,0
ethnologist,n,0
ethnology,n,0
ethos,n,0
etiquette,n,0
etude,n,0
etymological,adj,0
etymologist,n,0
etymology,n,0
eucalypti,n,0
eucalyptus,n,0
eucharistic,adj,0
eulogize,v,2
eulogy,n,0
eunuch,n,0
euphemism,n,0
euphemistic,adj,-1
euphemistically,adv,0
euphoria,n,3
euphoric,adj,2
eurasian,adj,0
eureka,n,3
euro,n,0
european,adj,0
euthanasia,n,-1
evacuate,v,0
evacuation,n,0
evacuee,n,0
evade,v,-1
evaluate,v,0
evaluation,n,0
evangelical,adj,0
evangelism,n,0
evangelist,n,0
evangelistic,adj,0
evangelize,v,0
evaporate,v,0
evaporation,n,0
evasion,n,-1
evasive,adj,-1
evasively,adv,-2
evasiveness,n,-1
eve,n,0
even,adj,0
even,adv,0
even,v,0
evenhanded,adj,2
evening,n,0
evenly,adv,2
evenness,n,0
event,n,0
even-tempered,adj,1
eventful,adj,0
eventfully,adv,0
eventide,n,0
eventual,adj,0
eventuality,n,0
eventually,adv,0
ever,adv,0
everglade,n,0
evergreen,adj,1
everlasting,adj,2
